OSCEM,fromEMD,optionalsEMD,unitsEMD,crunchEMD,typeEMD,fromPRZ,optionalsPRZ,untisPRZ,crunchPRZ,typePRZ
sample.specimen.concentration,,,,,,,,,,
sample.specimen.ph,,,,,,,,,,
sample.specimen.vitrification,,,,,,,,,,
sample.specimen.vitrification_cryogen,,,,,,,,,,
sample.specimen.humidity,,,,,,,,,,
sample.specimen.temperature,,,,,,,,,,
sample.specimen.staining,,,,,,,,,,
sample.specimen.embedding,,,,,,,,,,
sample.specimen.shadowing,,,,,,,,,,
,,,,,,,,,,
sample.grid.manufacturer,,,,,,,,,,
sample.grid.material,,,,,,,,,,
sample.grid.mesh,,,,,,,,,,
sample.grid.film_support,,,,,,,,,,
sample.grid.film_material,,,,,,,,,,
sample.grid.film_topology,,,,,,,,,,
sample.grid.film_thickness,,,,,,,,,,
sample.grid.pretreatment_type,,,,,,,,,,
sample.grid.pretreatment_time,,,,,,,,,,
sample.grid.pretreatment_pressure,,,,,,,,,,
sample.grid.pretreatment_atmosphere,,,,,,,,,,
